Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),Total folates,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Vitamin E,Total saturated fatty acids,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,656,65.8,31.4,3.3,1.3,6,1.7,3.24,27,285,345,19.5,43,8.03,0,12,2,0.029,0.08,2.96,4.32,7.28,0.1,1,25,0,0.2,0.1,0.7,0.23,1.2,7.86,32.61,34.83,2.14,38.78,5.5,0.24,79.114,139.96,75,254
0,568,69.1,20.4,6,1.2,4,1.3,2.04,25,220,355,8.4,48,3.87,3,10,5,0.028,0.106,2.93,2.81,5.73,0.14,0.9,20,1,0.4,0.6,3.6,0.89,2.38,14.98,51.69,23.48,3.8,33.9,4.19,0.38,61.568,259.15,62,165
0,697,64.9,31,4.6,1.3,6,1.7,3.19,26,281,341,19,42,7.87,1,12,3,0.029,0.08,2.92,4.27,7.19,0.1,1,24,0,0.2,0.1,0.7,0.25,1.69,7.67,31.82,33.98,2.09,38.73,5.37,0.27,78.084,206.94,75,251
0,450,74.6,20.4,2.8,1.2,4,1.2,2.1,26,230,370,8,50,4.1,0,10,2,0.03,0.11,3,2.81,5.81,0.19,1.3,21,1,0.3,0.7,3.8,0.9,1,19.06,71.53,25.03,5.1,43.32,4.39,0.37,72.737,96.67,62,165
0,710,61.8,32,4.5,1.3,6,1.7,3.3,27,290,350,10,43,8.2,0,12,2,0.03,0.08,3,4.4,7.4,0.11,2.5,25,0,0.2,0.1,0.7,0.2,1.5,22.69,87.94,40.38,8.33,57.12,8.37,0.53,105.875,140.22,75,259
0,546,72.3,20,5.6,1.2,4,1.2,2.06,25,223,360,7.6,49,3.95,2,10,4,0.029,0.107,2.95,2.75,5.7,0.2,1.4,20,1,0.3,0.7,3.67,0.89,2.16,18.16,68.17,24.83,4.86,41.28,4.18,0.42,70.295,234.12,62,162
0,804,59.8,31,7.5,1.3,6,1.8,3.16,26,279,339,9.4,42,7.8,1,12,3,0.028,0.08,2.91,4.27,7.18,0.13,2.5,24,0,0.2,0.1,0.69,0.26,2.67,21.37,82.81,38.02,7.84,55.92,7.88,0.57,101.827,301.86,74,251
0,815,65.7,18.9,13.3,1.1,4,1.4,1.96,23,204,332,6.6,46,3.53,7,11,9,0.025,0.099,2.82,2.6,5.42,0.21,1.6,19,1,0.4,0.6,3.3,0.87,5.44,15.63,58.66,24.26,4.18,35.52,3.6,0.56,63.383,623.06,62,153
0,910,57.5,29.9,10.9,1.3,6,1.8,3.01,25,266,326,8.8,41,7.34,2,12,5,0.026,0.08,2.8,4.11,6.92,0.15,2.4,23,0,0.2,0.1,0.69,0.34,4,19.86,76.98,35.34,7.29,54.56,7.33,0.62,97.231,485.39,74,242
0,508,72.9,23.8,2.8,1.2,6,1.2,2.2,27,230,380,7,57,3.8,0,10,2,0.05,0.22,7,3.28,10.28,0.14,0.4,21,1,0.3,0.7,3.8,0.9,1.05,11.75,42.83,18.31,3.85,28.24,4.39,0.29,50.937,110.03,58,193
0,707,58.8,31.9,4.5,1.3,10,1.7,2.2,26,270,350,15,49,7.8,0,12,2,0.03,0,1,4.39,5.39,0.14,1.4,25,0,0.2,0.1,0.7,0.7,1.46,22.67,85.14,29.33,12.38,63.65,8.58,0.48,101.562,122.89,70,258
0,465,73.7,22.2,2.4,1.2,5,1.2,2.15,26,230,375,9,54,3.95,0,10,2,0.04,0.165,5,3.06,8.06,0.18,1,21,1,0.3,0.7,3.8,0.9,0.86,13.51,50.3,18.73,3.86,31.24,3.68,0.28,53.651,85.66,60,180
0,684,62.1,31.2,4.1,1.3,8,1.7,2.75,26,280,350,11,46,8,0,12,2,0.03,0.04,2,4.3,6.3,0.14,2,25,0,0.2,0.1,0.7,0.45,1.37,21.01,80.24,32.69,9.44,55.68,7.84,0.47,96.204,122.46,72,253
