Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
36.5,5.84,0,0,43,43,43,0.2,0.19,0.06,0,1.26,0.03,0.64,2.01,0,0.14,2.25,2.44,0.69,0.04,2.73,24.32
10.7,1.71,0,0,4,4,4,0.3,0.29,0.8,0,13.36,0.3,7.66,22.16,0,1.3,21.56,23.26,3.65,0.2,0,200.13
12.2,1.95,0,0,3,3,3,0,0,0.77,0,12.85,0.29,7.36,21.32,0,1.25,20.74,22.38,3.51,0.19,0,192.51
20.6,3.3,0,0,12,12,12,0.3,0.27,0.1,0,1.63,0.03,0.91,2.68,0,0.19,2.9,3.15,0.8,0.06,0,27.66
30.6,4.9,0,0,11,11,11,0,0,0.15,0,2.58,0.04,1.44,4.23,0,0.3,4.59,4.98,1.27,0.09,0,43.68
18.9,3.02,0,0,11,11,11,0.3,0.27,0.22,0,3.68,0.08,2.09,6.09,0,0.38,6.17,6.67,1.3,0.08,0,57.85
29.6,4.74,0,0,11,11,11,0,0,0.19,0,3.13,0.06,1.76,5.15,0,0.35,5.46,5.92,1.39,0.09,0,51.72
22.5,3.6,0,0,52,52,52,0.2,0.15,0.02,0,0.43,0.01,0.22,0.68,0,0.07,0.73,0.82,0.19,0.01,0,7.28
27.9,4.46,0,0,76,76,76,0,0,0.03,0,0.64,0.01,0.33,1.03,0,0.1,1.09,1.22,0.29,0.01,0,10.92
22.4,3.58,0,0,52,52,52,0.2,0.15,0.03,0,0.55,0.01,0.28,0.89,0,0.08,0.97,1.08,0.25,0.01,0,9.97
18.1,2.9,0,0,25,25,25,0.2,0.23,0.31,0,5.79,0.13,3.16,9.42,0,0.56,10.18,10.94,2.01,0.12,0,106.13
27.4,4.38,0,0,37,37,37,0.3,0.28,0.42,0,7.8,0.17,4.25,12.68,0,0.76,13.69,14.73,2.71,0.16,0,142.65
22.4,3.58,0,0,20,20,20,0.2,0.17,0.02,0,0.46,0.01,0.24,0.75,0,0.06,0.82,0.9,0.3,0.02,2.09,8.37
31.2,4.99,0,0,30,30,30,0,0,0.02,0,0.5,0.01,0.26,0.82,0,0.06,0.89,0.98,0.33,0.02,2.28,9.1
24,3.84,0,0,51,51,51,0.2,0.15,0.02,0,0.41,0.01,0.2,0.65,0,0.06,0.7,0.79,0.25,0.01,1.82,7.28
29.2,4.67,0,0,43,43,43,0,0,0.02,0,0.47,0.01,0.23,0.74,0,0.07,0.81,0.9,0.29,0.01,2.09,8.37
29.2,4.67,0,0,43,43,43,0,0,0.02,0,0.48,0.01,0.24,0.76,0,0.07,0.83,0.93,0.3,0.01,2.09,8.62
